timestamp,ping,download,upload
1615677563087.661,39.58,31.02,9.17
1615677682710.308,39.0,32.61,9.11
1615677803990.495,55.38,34.46,8.38
1615677922747.433,40.26,34.44,9.2
1615678042634.46,39.49,33.19,9.21
1615678162965.98,39.4,32.89,8.85
1615678282896.525,41.99,26.92,8.62
1615678402865.645,38.01,32.11,9.13
1615678524990.138,42.08,23.29,8.43
1615678643276.948,36.74,19.88,8.09
1615678763545.728,46.67,22.17,8.71
1615678884986.444,46.86,23.35,8.3
1615679003877.079,37.96,21.95,9.11
1615679125745.853,39.88,25.43,9.04
1615679243246.714,34.6,21.19,8.76
1615679362888.562,37.18,22.73,9.28
1615679484338.679,41.16,24.47,8.93
1615679603207.094,41.11,28.51,8.33
1615679798932.723,39.48,19.24,8.35
1615679843547.865,38.78,32.13,8.71
1615679963552.347,39.59,21.69,8.77
1615680083986.663,34.21,25.88,9.11
1615680217668.836,40.5,31.47,7.59
1615680324739.221,40.01,17.57,9.29
1615680444851.077,40.15,21.16,9.2
1615680563289.494,40.54,19.96,8.03
1615680684612.376,39.06,16.22,8.52
1615680818944.661,37.97,28.29,8.69
1615680981882.433,35.02,27.17,6.01
1615681210834.624,34.6,13.04,0.38
1615681323880.481,39.07,23.46,9.42
1615681430274.295,43.47,26.71,7.97
1615681553219.064,38.01,26.78,8.8
1615681656800.203,38.79,15.24,8.0
1615681763685.379,41.62,24.21,8.28
1615681885478.502,47.28,17.7,8.51
1615682007449.008,40.44,19.01,9.04
1615682124731.226,41.89,34.99,9.0
1615682244492.386,39.92,23.75,8.79
1615682364189.38,46.43,23.0,8.73
1615682483274.083,34.45,33.8,8.9
1615682603614.833,39.99,19.0,9.11
1615682725352.679,40.23,14.62,8.73
1615682879147.164,41.71,23.31,8.71
1615682964444.095,35.22,14.63,8.96
1615683084369.232,41.11,26.13,8.13
1615683203041.809,31.97,23.02,6.24
1615683322951.613,38.91,23.24,9.0
1615683443018.249,34.44,24.56,8.85
1615683564884.936,34.71,27.83,6.98
1615683683783.452,35.51,22.17,8.29
1615683802960.559,33.67,27.33,8.64
1615683928493.59,35.35,26.06,5.49
1615684045259.038,36.07,26.09,5.0
1615684163107.569,36.01,27.28,9.14
1615684283006.078,34.83,21.58,9.13
1615684403189.86,39.82,24.58,8.65
1615684531498.737,34.35,23.2,4.93
1615684649634.236,38.58,12.28,8.32
1615684762949.279,38.66,22.6,4.57
1615684886723.697,36.04,23.13,6.42
1615685003696.206,41.6,24.97,8.67
1615685124813.604,46.73,13.65,8.38
1615685247221.701,52.55,11.41,7.03
1615685366177.664,34.02,13.09,5.02
1615685484015.126,40.68,18.71,6.74
1615685604333.03,48.53,16.27,6.12
1615685736866.808,43.35,11.4,6.52
1615685844439.375,45.99,22.6,7.43
1615685968614.078,69.18,17.38,2.24
1615686083924.027,46.86,18.86,7.79
1615686203590.465,37.67,18.24,6.99
1615686323592.578,43.49,26.37,8.07
1615686445064.523,37.48,16.56,8.09
1615686565905.325,60.73,23.01,7.99
1615686687249.789,46.71,16.56,7.53
1615686805363.403,66.57,10.27,6.52
1615686926717.636,33.93,14.11,6.46
1615687046886.927,52.67,15.47,6.92
1615687165212.564,39.33,16.48,6.92
1615687287473.966,35.58,21.91,5.77
1615687414502.679,38.59,15.98,5.53
1615687524115.599,35.72,24.51,9.19
1615687644168.764,36.32,25.45,8.01
1615687772209.659,45.79,20.65,4.92
1615687884225.282,38.03,15.81,8.88
1615688004517.8,36.83,20.1,7.14
1615688123217.372,40.41,26.69,8.32
1615688243547.592,42.05,24.79,8.94
1615688363422.476,42.52,24.63,9.1
1615688484103.188,32.68,22.79,8.25
1615688605778.308,35.58,24.14,8.71
1615688723485.873,36.83,27.55,8.77
1615688843571.217,42.97,25.08,8.98
1615688963572.34,37.33,24.59,8.14
1615689084805.446,31.76,27.08,6.75
1615689203244.563,34.11,27.09,8.88
1615689325875.457,35.65,24.37,9.13
1615689443526.348,41.62,28.02,8.56
1615689563016.956,33.72,25.52,5.41
1615689684463.553,43.26,20.74,8.29
1615689805583.084,32.72,22.55,6.99
1615689927321.201,33.62,22.45,6.62
1615690044954.233,35.3,24.57,6.96
1615690163113.28,32.78,24.83,9.1
1615690287019.484,34.73,22.48,9.04
1615690407074.923,41.59,20.13,9.07
1615690523186.622,37.05,22.6,8.58
1615690652712.547,39.12,20.74,5.21
1615690763224.604,36.84,24.23,9.52
1615690883243.725,36.23,21.48,8.43
1615691004000.156,36.35,19.35,8.84
1615691131344.92,33.77,14.83,9.4
1615691243217.699,35.7,27.55,8.56
1615691367668.581,52.62,23.53,8.27
1615691485432.139,35.31,26.08,7.29
1615691604026.885,46.16,25.72,8.65
1615691723259.929,38.57,18.84,7.96
1615691843735.296,32.57,22.87,7.95
1615691970273.678,36.69,25.48,6.96
1615692084437.148,34.34,26.13,8.0
1615692204891.093,36.95,24.44,7.45
1615692323609.109,39.14,22.86,8.37
1615692453476.224,58.22,19.98,3.68
