timestamp,ping,download,upload
1615649269117.428,49.73,14.33,5.28
1615649484830.324,51.57,35.3,6.6
1615649544234.823,45.27,36.98,6.25
1615649604204.842,40.02,31.76,7.45
1615649663518.083,50.87,35.08,6.85
1615649723078.54,34.43,31.49,8.73
1615649783227.337,48.38,34.52,8.76
1615649843611.454,39.61,35.94,8.23
1615649907029.98,41.71,9.96,2.16
1615649963125.247,46.51,35.11,6.97
1615650024626.482,45.37,32.89,6.28
1615650083764.464,36.82,36.18,8.24
1615650143117.246,47.58,37.37,8.46
1615650204250.066,50.14,26.18,6.86
1615650263640.716,59.25,30.48,7.78
1615650322822.874,36.01,38.35,8.5
1615650383832.355,44.04,29.61,8.47
1615650443464.385,47.85,34.02,7.41
1615650503313.052,47.84,28.16,8.55
1615650563161.706,48.13,35.78,9.08
1615650624630.364,39.44,29.97,7.75
1615650683165.164,46.39,30.22,9.05
1615650744098.582,34.67,20.01,8.31
1615650805446.675,48.37,35.7,6.47
1615650863145.601,49.59,24.62,9.04
1615651106778.59,48.0,0.0,3.43
1615651164223.835,44.58,17.04,7.94
1615651283556.259,40.19,12.77,5.87
1615651352103.73,35.12,15.78,7.4
1615651403434.235,42.81,23.64,8.3
1615651462996.101,34.59,24.97,8.87
1615651529536.934,48.17,19.32,8.98
1615651584106.423,48.94,27.48,6.73
1615651643194.048,42.54,27.08,8.53
1615651705672.509,47.53,26.29,8.02
1615651764635.576,39.17,17.08,8.12
1615651828175.769,35.89,25.05,5.17
1615651885835.875,45.31,22.53,7.66
1615651944330.888,46.36,17.24,7.44
1615652004451.029,47.24,25.41,8.37
1615652065536.297,38.95,23.9,7.98
1615652135172.849,47.77,18.66,6.8
1615652193897.89,50.87,28.59,8.9
1615652259577.065,50.8,19.95,7.14
1615652303992.764,48.27,27.72,8.24
1615652366110.131,48.65,16.95,7.1
1615652424110.228,46.67,24.7,8.56
1615652485010.946,38.94,22.73,6.52
1615652551855.089,50.24,24.86,7.73
1615652623743.841,49.7,24.92,7.25
1615652664239.526,48.28,28.73,8.44
1615652723967.492,46.9,25.46,8.44
1615652784047.334,47.75,25.59,8.58
1615652845628.432,50.16,24.36,8.39
1615653145270.734,47.26,18.38,7.17
1615653204623.972,48.71,15.84,8.22
1615653265927.146,48.73,4.14,0.0
1615653325102.363,48.51,35.7,9.08
1615653384122.457,45.81,34.17,8.61
1615653444100.87,46.88,32.36,9.04
1615653503610.26,49.33,35.85,9.16
1615653563637.046,47.75,34.18,9.45
1615653624258.382,50.8,33.62,9.34
1615653683762.649,44.17,24.54,8.91
1615653745443.624,56.62,29.06,8.88
1615653804510.643,41.2,34.89,8.86
1615653863839.227,49.74,34.55,9.03
1615653927743.762,47.01,36.66,9.42
1615653983854.654,45.53,34.79,9.19
1615654043877.135,49.27,34.94,8.97
1615654104116.211,46.18,36.53,8.47
1615654164066.003,44.42,12.93,7.61
1615654225462.402,44.32,35.17,9.21
1615654284120.107,50.82,35.01,9.22
1615654343955.667,53.27,34.12,9.44
1615654403854.161,51.93,35.67,8.93
1615654463716.155,47.23,22.24,9.25
1615654524762.86,53.05,34.32,9.52
1615654584623.348,50.27,36.55,8.85
1615654644059.44,47.17,34.95,9.36
1615654703758.881,48.81,35.64,9.3
1615654765588.284,48.14,16.87,8.78
1615654803683.158,0,0,0
1615654884395.453,48.05,18.92,8.08
1615654943756.677,44.54,16.52,9.08
1615655004032.429,46.75,26.3,8.99
1615655064006.984,50.22,23.15,9.15
1615655123921.762,45.96,25.41,9.09
1615655184286.852,46.05,19.77,8.51
1615655244030.43,41.18,22.15,8.43
1615655304433.524,47.26,17.55,6.4
1615655364026.195,44.06,10.91,8.87
1615655423975.093,44.64,21.66,9.11
1615655488970.973,73.32,13.58,6.22
1615655544197.341,48.74,18.3,8.65
1615655603982.398,51.63,18.04,8.92
1615655670389.193,46.75,17.09,6.02
1615655723891.21,45.78,24.01,9.0
1615655784063.781,47.53,23.85,8.86
1615655844176.602,50.12,25.42,8.13
1615655903979.474,44.11,20.57,8.92
